0.859375,0.984375,0.851562,-0.859375,-0.984375,-0.117188,1.36719,0.984375,0.1875,-1.36719,-0.460938,-0.851562,325,326,0,0,
0,0.070312,-0.664062,-0.335938,-0.195312,-0.828125,0,0.054688,-0.351562,-0.484375,-0.382812,-0.671875,777,2,1,0,
0,-0.148438,-0.351562,-0.34375,-0.382812,-0.671875,0,0.054688,-0.539062,-0.484375,-0.195312,-0.671875,779,3,1,0,
-0.335938,0.054688,-0.539062,-0.484375,-0.148438,-0.664062,0,0.054688,-0.539062,-0.34375,-0.195312,-0.671875,371,295,1,1,
-1.03906,0.054688,-0.429688,-1.3125,-0.085938,-0.53125,0,0.070312,-0.351562,-0.484375,-0.382812,-0.828125,479,1,1,0,
-0.59375,0.078125,-0.125,-1.28125,-0.140625,-0.492188,0,0.023438,0.1875,-0.734375,-0.460938,-0.546875,26,27,0,0,
-1.03906,0.054688,-0.328125,-1.28125,-0.101562,-0.492188,-1.03906,0.078125,-0.328125,-1.28125,-0.101562,-0.429688,949,855,1,1,
-1.03906,0.078125,-0.328125,-1.28125,-0.101562,-0.492188,-1.03125,0.078125,-0.304688,-1.21094,-0.101562,-0.40625,6,381,0,1,
-0.59375,0.015625,-0.125,-1.03906,-0.140625,-0.429688,-0.789062,0,-0.265625,-1.04688,-0.125,-0.492188,9,10,0,0,
-0.789062,-0.085938,-0.328125,-1.03906,-0.125,-0.492188,-0.882812,0,-0.265625,-1.04688,-0.015625,-0.421875,477,447,1,1,
-0.59375,-0.125,-0.125,-0.789062,-0.140625,-0.328125,-0.59375,0.015625,-0.125,-1.03906,-0.140625,-0.429688,499,11,1,0,
-0.59375,0.015625,-0.164062,-0.882812,-0.125,-0.429688,-0.773438,0,-0.125,-1.03906,-0.140625,-0.367188,16,17,0,0,
-0.882812,0,-0.210938,-1.03906,-0.039062,-0.367188,-0.882812,0,-0.210938,-1.03906,-0.023438,-0.367188,859,919,1,1,
-0.773438,-0.039062,-0.125,-1.03906,-0.140625,-0.328125,-0.828125,-0.023438,-0.132812,-1.03125,-0.070312,-0.304688,15,385,0,1,
-0.773438,-0.101562,-0.125,-1.03906,-0.140625,-0.328125,-0.773438,-0.070312,-0.125,-1.03906,-0.140625,-0.328125,947,383,1,1,
-0.773438,-0.070312,-0.125,-1.03906,-0.140625,-0.328125,-0.828125,-0.039062,-0.132812,-1.03906,-0.101562,-0.328125,14,857,0,1,
-0.773438,-0.023438,-0.125,-1.03906,-0.140625,-0.328125,-0.882812,0,-0.210938,-1.03906,-0.039062,-0.367188,12,13,0,0,
-0.59375,0.015625,-0.164062,-0.882812,-0.125,-0.429688,-0.8125,-0.015625,-0.210938,-0.882812,-0.023438,-0.273438,21,907,0,1,
-0.8125,-0.014625,-0.265625,-0.882812,-0.015625,-0.320312,-0.8125,0.015625,-0.265625,-0.882812,-0.015625,-0.320312,435,19,1,0,
-0.8125,0.015625,-0.265625,-0.882812,-0.015625,-0.320312,-0.8125,0.015625,-0.273438,-0.851562,-0.015625,-0.320312,937,20,1,0,
-0.8125,0.015625,-0.273438,-0.851562,-0.015625,-0.320312,-0.8125,0.015625,-0.273438,-0.84375,-0.015625,-0.320312,433,905,1,1,
-0.59375,-0.007812,-0.164062,-0.789062,-0.125,-0.429688,-0.8125,0.015625,-0.265625,-0.882812,-0.015625,-0.320312,967,18,1,0,
-0.59375,0.015625,-0.125,-1.04688,-0.140625,-0.492188,-1.03125,0.078125,-0.304688,-1.28125,-0.101562,-0.492188,7,8,0,0,
-0.59375,-0.023438,-0.125,-0.828125,-0.140625,-0.171875,-0.71875,-0.015625,-0.132812,-0.882812,-0.070312,-0.273438,24,25,0,0,
-0.8125,-0.015625,-0.132812,-0.882812,-0.070312,-0.273438,-0.71875,-0.015625,-0.132812,-0.828125,-0.070312,-0.273438,879,405,1,1,
-0.71875,-0.023438,-0.125,-0.828125,-0.140625,-0.171875,-0.59375,-0.023438,-0.125,-0.773438,-0.140625,-0.171875,399,873,1,1,
-0.59375,0.078125,-0.125,-1.28125,-0.140625,-0.492188,-0.59375,-0.015625,-0.125,-0.882812,-0.140625,-0.273438,22,23,0,0,
0,0.023438,-0.164062,-0.640625,-0.382812,-0.546875,0,0,0.1875,-0.734375,-0.460938,-0.351562,31,32,0,0,
-0.296875,0.023438,-0.210938,-0.640625,-0.3125,-0.546875,-0.429688,-0.00781199,-0.164062,-0.640625,-0.195312,-0.429688,30,843,0,1,
